Date,Loc,TempLow,TempHigh,Steaming,Sun,WindDir,WindSpeed,DayWindDir,NightWindDir,DayWindSpeed,NightWindSpeed,DayHumidity,NightHumidity,DayPressure,NightPressure,DayCloud,NightCloud,DayTemp,NightTemp,Weather,RISK_MM
2016/7/19,,19.5,,5.694960464,0.5,ENE,61,ENE,ENE,31,22,86.64137524,41.81000572,1020.4,1021.9,,7,,19.6,0,
2010/7/26,Canberra,2.1,15.7,,5.7,E,26,,SE,9,7,53.27571495,76.59804775,1023.7,1020.8,4,1,9,14.1,0,0
2014/4/2,Woomera,20.9,36.1,5.694960464,,S,39,S,SW,31,17,15.47157365,52.16325429,1017.1,1014.9,4.167265902,4.27812027,24.2,33.9,0,0
2014/11/19,Tuggeranong,11.5,23.9,5.694960464,7.993227011,NNE,35,W,,7,17,46.44239754,67.6647331,1010.2,,4.167265902,4.27812027,13.8,21.8,1,0.2
,Hobart,8.2,20.5,3.2,,N,69,N,WNW,,,51.83088915,51.77024013,,1001.2,7,7,,17.6,0,0.6
2013/5/23,Tuggeranong,9.7,24.1,5.694960464,,NE,31,SE,E,11,19,49.8168993,58.47022476,1022.9,,4.167265902,4.27812027,17.8,23.2,0,0
2010/7/23,,6,12.8,1,7.4,WSW,,WSW,W,28,26,70.87965608,59.67219112,1029.4,1030.3,,4,,,1,2.4
2017/6/1,,7.1,15.5,2.4,7.993227011,,35,SSW,S,15,13,39.13842224,68.12342825,1024,,1,4,9.6,14.8,0,0
2010/11/28,NorahHead,16.5,25.4,5.694960464,7.993227011,NNE,,NNE,NE,26,,63.98324855,60.00826245,1004.7,1000.8,4.167265902,4.27812027,18.9,21.7,0,0
2014/4/7,Nuriootpa,,13.8,4.7,5.2,,65,W,WSW,28,33,58.97398111,68.96033934,1014.8,,,4.27812027,10.1,12,1,3
,SydneyAirport,20.5,23,,0.1,SSE,48,SSE,SSE,,30,64.37886469,50.02046664,1015.2,1015.4,8,8,21.6,20.8,0,3.6
,Woomera,7.4,14.5,5.694960464,7.993227011,SW,33,WSW,WNW,13,15,55.22381526,72.07735118,1026.9,1023.8,,3,9.6,14.3,0,0
2016/7/16,Walpole,8.4,12.1,5.694960464,7.993227011,SSW,48,SSW,SSE,19,13,76.10856829,,1011.4,1012.9,,4.27812027,10,10.8,1,6.8
2012/1/2,Williamtown,6.9,22.6,25.6,7.993227011,WSW,,,,13,19,51.06086422,49.17743584,1024.8,1020.5,1,5,,19.5,0,0
2017/5/1,PerthAirport,11.4,,6.8,13.1,SSW,44,,SW,20,30,44.79555094,56.08754481,1023.9,1021.1,1,,19.8,25.7,0,0
2016/12/14,Wollongong,7.3,15.6,5.694960464,7.993227011,SSE,31,SSW,SE,,20,64.57496034,41.25610135,1027.5,1024,4.167265902,4.27812027,13.6,14.9,0,0
2013/8/18,Cobar,,21.3,,9.4,,24,,,6,9,28.41571143,61.80768321,1026.9,1021.5,2,3,12.8,20.2,0,
2013/3/6,Albany,16.5,24,4.8,10,,39.38314977,ENE,WSW,19,,,27.02650491,999.8,998.7,7,7,20,21,0,7.8
2015/6/28,Woomera,12.5,25.3,4,4.6,NNE,72,,NW,39,33,89.92701338,36.180496,1008.1,1003.2,7,8,20.9,17,0,13.8
2010/3/31,Albury,,35.3,5.694960464,7.993227011,ENE,48,SE,S,,,34.33874833,62.30041112,1013.4,,4.167265902,4.27812027,24.9,33.5,0,0
2010/11/17,,6.6,15.3,5.1,,S,50,SW,WSW,13,22,47.8477774,77.33959548,1021.6,,6,3,,14.1,1,0.2
2014/2/19,Albury,19.7,41.5,5.694960464,7.993227011,NNW,63,N,,28,41,13.51987671,45.17193769,1008.3,1002.3,4.167265902,1,33.7,39.5,0,10
,Albury,-1,,5.694960464,7.993227011,,,,SE,,9,55.29847068,72.87109425,,1032,4.167265902,,,13.2,0,0
2011/3/30,Wollongong,8.9,,,7.993227011,,,S,S,7,,77.13803888,,1024.1,1019.7,5,8,,15.1,0,61
,Mildura,,26.5,,12.4,W,28,ESE,W,4,15,33.61529399,62.72344302,1016.2,,6,7,17.1,24.9,0,
2015/6/9,,8.7,17.4,2.4,10,W,41,W,W,15,20,39.97186523,73.08208259,1012.6,1009.8,,3,11.3,17,0,0
,SydneyAirport,23.3,31.8,8.8,9.4,,61,NNE,NE,15,39,56.09499786,59.32518384,1012.7,1007.9,,1,26.3,31.4,0,0.2
2013/11/1,Moree,8.2,23.1,2.4,5.4,,28,ENE,,11,7,50.63262737,74.03577973,1020.8,1017.3,5,6,13.5,22.9,0,2.8
2013/10/2,Moree,14.2,28.9,8.2,11.4,NE,37,E,E,19,17,36.14827208,62.78909167,1022.3,1018,1,3,20.1,28.5,0,
2015/1/31,Uluru,,,5.694960464,7.993227011,ESE,33,E,ENE,,13,,55.85518552,,1015.4,4.167265902,4.27812027,,28.4,0,0
,Brisbane,8.5,22.5,6,9.3,WNW,,WSW,W,6,11,49.44192318,,1020.2,1017.4,0,1,17.9,,0,
