loc,latitude,longitude,climate
Adelaide,-34.9061,138.5939,Csa
Albany,-35.0228,117.8814,Csb
Albury,-36.0808,146.9165,Cfa
AliceSprings,-23.7006,133.8827,BWh
BadgerysCreek,-33.8797,150.7522,Cfa
Ballarat,-37.55,143.85,Cfb
Bendigo,-36.7582,144.2787,Cfb
Brisbane,-27.4679,153.0281,Cfa
Cairns,-16.9237,145.7661,Am
Canberra,-35.2835,149.1281,Cfb
Cobar,-31.4967,145.8344,BSh
CoffsHarbour,-30.2963,153.1135,Cfa
Dartmoor,-34.1314,138.8935,Csb
Darwin,-12.4611,130.8419,Aw
GoldCoast,-28.0003,153.4309,Cfa
Hobart,-42.8794,147.3294,Cfb
Katherine,-14.4652,132.2635,Aw
Launceston,-41.4388,147.1347,Cfb
Melbourne,-37.814,144.9633,Cfb
MelbourneAirport,-37.6743,144.85182,Cfb
Mildura,-34.1855,142.1625,BSk
Moree,-29.4628,149.8416,Cfb
MountGambier,-37.8244,140.7838,Csb
MountGinini,-35.5297,148.7722,Cfb
Newcastle,-32.9295,151.7801,Cfb
Nhil,-36.33,141.65,BSk
NorahHead,-33.7838,150.9986,Cfb
NorfolkIsland,-19.333,138.333,Cfa
Nuriootpa,-34.4682,138.9977,BSk
PearceRAAF,-31.666,116.023,Csa
Penrith,-33.758,150.7054,Cfa
Perth,-31.9535,115.857,Csa
PerthAirport,-31.9406,115.9676,Csa
Portland,-38.31,141.471,Csb
Richmond,-33.601,150.781,Cfa
Sale,-38.1,147.0667,Cfb
SalmonGums,-32.9879,121.6422,BSk
Sydney,-33.86514,151.2099,Cfa
SydneyAirport,-33.946,151.177,Cfa
Townsville,-19.253,146.765,Aw
Tuggeranong,-35.4244,149.0888,Cfb
Uluru,-25.3445,131.0354,BWh
WaggaWagga,-35.1173,147.3565,Cfa
Walpole,-34.95,116.7,Csb
Watsonia,-37.7114,145.0828,Cfb
Williamtown,-32.795,151.834,Cfb
Witchcliffe,-34.025,115.1004,Csb
Wollongong,-34.4251,150.8931,Cfa
Woomera,-31.144,136.817,BWh
,-32,144,unknown
